⸮)⸮r⸮⸮j
6⸮0,13.99
0,14.16
1,14.08
1,14.46
2,15.81
2,16.83
3,17.68
4,19.00
4,19.94
5,20.56
5,20.76
6,20.76
6,21.00
7,20.88
7,20.26
8,19.56
9,18.94
9,18.27
10,17.51
10,16.48
11,16.07
11,15.60
12,15.45
13,15.37
13,15.25
14,14.78
15,14.52
15,14.22
16,14.37
17,14.43
18,14.43
19,14.55
19,14.57
20,14.63
21,16.07
22,17.54
23,19.35
24,20.50
24,21.23
25,21.44
26,21.32
27,20.67
28,19.50
29,18.71
29,17.10
30,16.51
31,15.81
32,15.72
33,15.45
34,14.99
34,14.69
35,14.57
36,14.69
37,14.69
38,14.72
39,14.90
39,14.84
40,15.40
41,16.92
43,18.62
44,20.12
45,21.32
45,21.50
46,21.58
47,21.17
48,20.41
49,19.50
50,18.21
50,17.10
51,16.30
52,16.07
53,15.87
54,15.54
55,15.01
55,14.81
56,14.90
57,14.81
58,15.10
59,14.99
59,15.04
60,15.13
61,16.36
62,18.01
63,19.44
64,21.00
64,21.52
65,21.94
66,21.70
67,21.26
68,20.00
69,19.12
69,17.77
70,16.86
71,16.36
72,16.04
73,16.01
74,15.25
74,15.07
75,14.87
76,15.10
77,15.07
78,15.25
79,15.22
79,15.19
80,15.60
81,17.21
82,18.94
83,20.29
84,21.58
84,21.79
86,22.11
87,21.52
88,20.94
89,19.62
90,18.91
90,17.39
91,16.80
92,16.25
93,16.33
94,15.89
95,15.34
95,15.25
96,15.10
97,15.34
98,15.22
99,15.34
100,15.25
100,15.45
101,16.98
102,18.80
103,20.32
104,21.64
105,21.99
106,22.08
107,21.32
108,20.32
109,19.24
110,17.92
110,16.83
111,16.42
112,16.33
113,15.78
114,15.37
115,15.22
116,15.31
117,15.37
118,15.43
119,15.40
120,15.51
121,16.42
121,18.18
122,19.82
123,21.47
124,21.94
125,22.29
126,21.91
128,21.00
129,19.79
130,18.62
131,17.30
132,16.77
132,16.22
133,16.19
134,15.51
135,15.31
136,15.37
137,15.37
138,15.37
139,15.51
140,15.60
141,15.60
142,17.65
143,19.06
143,21.00
144,21.91
145,22.23
146,22.20
147,21.61
148,20.18
149,19.30
150,17.71
151,16.92
152,16.45
153,16.51
153,15.95
154,15.60
155,15.34
156,15.48
157,15.54
158,15.45
159,15.69
160,15.57
161,16.95
162,18.62
163,20.62
164,21.58
164,22.29
165,22.14
166,21.88
167,20.82
168,19.62
169,18.24
171,17.27
172,16.63
173,16.45
174,16.22
175,15.43
175,15.54
176,15.31
177,15.51
178,15.48
179,15.60
180,15.60
181,16.22
182,17.92
183,19.53
184,21.26
185,22.08
186,22.35
186,22.11
187,21.38
188,20.18
189,19.12
190,17.62
191,16.95
192,16.36
193,16.63
194,15.84
195,15.45
196,15.45
196,15.51
197,15.57
198,15.54
199,15.72
200,15.69
